"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"19.04.2024","0,9384","0,9395","0,9425","0,9365","","-0,11%"
"18.04.2024","0,9394","0,9370","0,9398","0,9354","","0,28%"
"17.04.2024","0,9368","0,9416","0,9429","0,9363","","-0,50%"
"16.04.2024","0,9415","0,9413","0,9434","0,9385","","0,04%"
"15.04.2024","0,9411","0,9401","0,9416","0,9376","","0,19%"
"12.04.2024","0,9393","0,9323","0,9414","0,9319","","0,77%"
"11.04.2024","0,9321","0,9308","0,9347","0,9296","","0,14%"
"10.04.2024","0,9308","0,9211","0,9321","0,9201","","1,08%"
"09.04.2024","0,9209","0,9209","0,9219","0,9186","","0,02%"
"08.04.2024","0,9207","0,9222","0,9242","0,9205","","-0,21%"
"05.04.2024","0,9226","0,9229","0,9267","0,9218","","0,00%"
"04.04.2024","0,9226","0,9231","0,9233","0,9194","","-0,02%"
"03.04.2024","0,9228","0,9283","0,9291","0,9227","","-0,60%"
"02.04.2024","0,9284","0,9308","0,9325","0,9277","","-0,26%"
"01.04.2024","0,9308","0,9269","0,9319","0,9259","","0,47%"
"29.03.2024","0,9264","0,9268","0,9288","0,9254","","-0,03%"
"28.03.2024","0,9267","0,9236","0,9281","0,9235","","0,36%"
"27.03.2024","0,9234","0,9233","0,9251","0,9226","","0,04%"
"26.03.2024","0,9230","0,9227","0,9239","0,9204","","0,04%"
"25.03.2024","0,9226","0,9252","0,9258","0,9222","","-0,28%"
"22.03.2024","0,9252","0,9208","0,9258","0,9201","","0,49%"
"21.03.2024","0,9207","0,9158","0,9212","0,9138","","0,56%"
"20.03.2024","0,9156","0,9204","0,9229","0,9154","","-0,50%"
"19.03.2024","0,9202","0,9197","0,9230","0,9194","","0,08%"
"18.03.2024","0,9195","0,9180","0,9204","0,9169","","0,14%"
"15.03.2024","0,9182","0,9189","0,9197","0,9174","","-0,05%"
"14.03.2024","0,9187","0,9135","0,9191","0,9128","","0,59%"
"13.03.2024","0,9133","0,9151","0,9158","0,9121","","-0,20%"
"12.03.2024","0,9151","0,9154","0,9173","0,9137","","-0,01%"
"11.03.2024","0,9152","0,9137","0,9162","0,9133","","0,13%"
"08.03.2024","0,9140","0,9134","0,9158","0,9106","","0,09%"
